Epoch,Training Loss,Testing_Loss
1,1.7158819266946623,1.6320950866724007
2,1.5678980680656367,1.559511581866425
3,1.5147877263720826,1.5235722846926156
4,1.490774152010363,1.497944569
5,1.4703475971390882,1.4798826607079252
6,1.4535829904898925,1.4621447661914513
7,1.4385075878297087,1.4479529293796758
8,1.4299700520231233,1.4617724325686245
9,1.422291037778012,1.443260900176827
10,1.4161288033340615,1.460080455738934
11,1.412307988307689,1.4234004218421785
12,1.409043905354248,1.4193977289584692
13,1.4047663693750856,1.4182761935708297
14,1.4011523151736438,1.4101133692892402
15,1.3977920816843332,1.4099040052633116
16,1.3957924157513695,1.408025742637149
17,1.3936423894294685,1.4016182226537843
18,1.3910925004201489,1.3983099968586672
19,1.387796031157475,1.397798196255916
20,1.3833202274745149,1.3918163782513093
21,1.381013875600819,1.3952578784829126
22,1.3769304218132257,1.4096606670994765
23,1.3750611336845031,1.3809507036258029
24,1.3726299280215926,1.3842185307217687
25,1.368752955645578,1.3864315016406668
26,1.3656937273162475,1.3898517258271637
27,1.363341197805101,1.3723284035880328
28,1.3613800636732754,1.373758847630301
29,1.357527533364353,1.371650920683969
30,1.3560323688172593,1.3640251105037173
31,1.3546429057973821,1.3648191550198723
32,1.3510084554415294,1.357366779658602
33,1.3493145694372712,1.3510071470946197
34,1.346887372059187,1.3532888634912619
35,1.3436548453575534,1.3556926379288596
36,1.3427088472256306,1.3672053516114948
37,1.341783373864372,1.3501120495486358
38,1.337790222506293,1.357261096933798
39,1.3362716146423081,1.3456092705967977
40,1.3341953887265254,1.3401115817589897
41,1.3342056966468676,1.3713766602256556
42,1.3323556241700194,1.3441347121458536
43,1.331537268874744,1.3407122390459403
44,1.329989783101113,1.330417415022687
45,1.3295269453313325,1.3333146931493984
46,1.3283374472886313,1.3373465422647923
47,1.3268334545916949,1.332191224952729
48,1.3249172763806507,1.329008031886188
49,1.324391739131122,1.3339620876481448
50,1.3235785453154674,1.3269639626328824
51,1.3218678820933107,1.3258018521375434
52,1.3214752580390243,1.325554873
53,1.3201297441448345,1.3311694146996484
54,1.320155912037787,1.325083890015058
55,1.318912382486625,1.3296875680928029
56,1.3183133682438217,1.3242899207181709
57,1.3174254853955607,1.3264710318536668
58,1.3165174171007157,1.327840965480713
59,1.316368311612992,1.3237014838510923
60,1.3153768772949956,1.3174210088849883
61,1.313732807,1.317576474636263
62,1.3133008648621958,1.3174326280399484
63,1.3130510473998187,1.3265828662711194
64,1.3129723985098847,1.3179548581203422
65,1.3118580047784705,1.3154940276563412
66,1.3124053510277698,1.324191215915654
67,1.3102793695787092,1.3405601699440326
68,1.3104294867945714,1.338939118
69,1.3103521264036075,1.317671287769169
70,1.3096334972495047,1.3121557651564133
71,1.3102863290484577,1.3098947229284268
72,1.3100311119480519,1.319003434375275
73,1.3091069219537648,1.311964279160454
74,1.3082801071147077,1.311370877
75,1.3072351210229978,1.322263862912208
76,1.307272242565181,1.3100917050678655
77,1.3059002076546977,1.312259167883795
78,1.3057453901402063,1.3105056206358114
79,1.3049567602893661,1.3151647518255152
80,1.3050788595981688,1.3088853260968518
81,1.305249462,1.3181146967101196
82,1.3059730567892542,1.3184833986488478
83,1.3050851895869573,1.3058280885912652
84,1.303253622015875,1.307167713766059
85,1.3046400745675728,1.3076400403366533
86,1.3035958445427231,1.3051366996422675
87,1.3021192244269675,1.3166152457776703
88,1.303468600930681,1.3239180288301773
89,1.3021745409144396,1.3198615181299307
90,1.3009778195886896,1.324077821870509
91,1.3012734579737977,1.306190098074001
92,1.300546998573223,1.317298561497687
93,1.2997479411948425,1.3047698263675178
94,1.2994737319140677,1.3045014313813272
95,1.2995125679213149,1.3216916680662152
96,1.299994985791397,1.299706887244852
97,1.2985529153977955,1.3003350601476782
98,1.2979971896149205,1.3152294434535683
99,1.2989602023120288,1.3042775041509098
100,1.2980187110085064,1.309860114685977
